Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
145,Moses Moody,23,GSW,SG,18,10,26,3.8,9.4,0.408,2.6,6.6,0.398,1.2,2.8,0.431,0.547,1.9,2.3,0.854,0.7,2.7,3.4,1.5,0.9,0.7,1.3,2.2,12.2,,moodymo01
146,Brandin Podziemski,22,GSW,SG,20,8,28.2,4.3,9.7,0.44,1.8,4.6,0.391,2.5,5.1,0.485,0.534,1.9,2.6,0.745,0.6,4,4.6,2.9,1.3,0.3,1.3,2.2,12.2,,podzibr01
147,Collin Gillespie,26,PHO,PG,19,1,25.9,4.2,9.7,0.432,2.6,6.4,0.413,1.6,3.4,0.469,0.568,1.1,1.3,0.833,1,3.1,4.1,5.2,1.2,0.3,1.7,1.5,12.1,,gilleco01
148,Zach Edey,23,MEM,C,6,6,23.5,4.5,7.2,0.628,0.2,0.5,0.333,4.3,6.7,0.65,0.64,2.8,3.2,0.895,3.5,5.3,8.8,0.8,1,1.7,1.7,2.8,12,,edeyza01
149,Toumani Camara,25,POR,PF,19,19,33.7,4.5,11.1,0.403,2.1,6.8,0.308,2.4,4.3,0.556,0.498,0.9,1.3,0.708,2.2,3.1,5.3,2.7,1.1,0.6,2.1,3.2,11.9,,camarto01
150,D'Angelo Russell,29,DAL,PG,17,3,21.4,4.2,10.6,0.392,1.2,4.9,0.25,2.9,5.7,0.515,0.45,2.3,3.3,0.696,0.4,2.4,2.8,4.8,0.5,0.1,2.4,1.4,11.9,,russeda01
151,Quenton Jackson,27,IND,PG,5,3,20.2,4,7.4,0.541,1.2,2.4,0.5,2.8,5,0.56,0.622,2.6,3.6,0.722,1,2.4,3.4,3.6,1,0.2,1.2,2,11.8,,jacksqu01
152,Zaccharie Risacher,20,ATL,SF,16,16,24.4,4.6,10.4,0.446,1.6,5.1,0.309,3.1,5.3,0.576,0.521,0.9,1.4,0.609,0.8,2,2.8,1.6,1.1,0.8,0.8,1.8,11.7,,risacza01
153,John Collins,28,LAC,PF,18,9,26.1,4.4,8.9,0.497,0.9,2.7,0.354,3.5,6.3,0.558,0.55,1.8,2.2,0.8,1.2,3.6,4.8,0.6,0.8,0.6,1.6,2.3,11.6,,collijo01
154,Naji Marshall,28,DAL,SF,19,1,26.4,3.7,7.8,0.473,0.9,3,0.298,2.8,4.8,0.582,0.53,3.3,4.2,0.788,0.7,4.3,4.9,2.3,1.1,0.1,1.2,1.8,11.6,,marshna01
155,Tristan Da Silva,24,ORL,SF,19,7,23.8,4.3,8.9,0.476,1.9,4.7,0.411,2.3,4.2,0.55,0.585,1,1.3,0.792,1,2.9,3.9,1.4,0.8,0.3,0.8,1.1,11.5,,dasiltr01
156,Tari Eason,24,HOU,PF,11,1,23.2,4.3,8.6,0.495,2.5,4.8,0.509,1.8,3.8,0.476,0.637,0.5,0.6,0.714,1.5,3.7,5.2,1.6,0.8,0.5,1.7,1.6,11.5,,easonta01
157,Tre Johnson,19,WAS,SG,15,4,24.3,4.3,9.7,0.445,2,5.1,0.395,2.3,4.7,0.5,0.548,0.9,1.1,0.813,0.5,2.5,3,1.3,0.4,0.5,1.6,1.9,11.5,,johnstr03
158,Christian Braun,24,DEN,SG,11,11,29.5,4.4,8.8,0.495,0.5,2.5,0.214,3.8,6.3,0.609,0.526,2.1,2.6,0.793,1.6,2.7,4.4,3,0.8,0.3,1.3,2.2,11.4,,braunch01
159,Royce O'Neale,32,PHO,SF,19,15,30.2,3.9,9,0.433,3.2,7.4,0.433,0.7,1.6,0.433,0.611,0.4,0.5,0.7,0.8,4.4,5.2,2.7,1.2,0.2,1.5,2.5,11.4,,onealro01
160,Bobby Portis,30,MIL,PF,19,2,21.7,4.6,9.3,0.492,1.5,3.2,0.475,3.1,6.1,0.5,0.573,0.6,0.8,0.688,1.2,4.5,5.7,1.2,0.5,0.1,1.1,1.7,11.3,,portibo01
161,Jaylon Tyson,23,CLE,SG,14,10,26.2,4.2,8,0.527,2.1,4.4,0.475,2.1,3.6,0.588,0.656,0.8,1,0.786,1.5,3.1,4.6,1.8,1.1,0.7,1,3.6,11.3,,tysonja01
162,Jock Landale,30,MEM,C,19,13,22.5,4.4,8.2,0.538,1.2,2.6,0.449,3.3,5.6,0.579,0.609,1.2,1.7,0.697,2.2,3.3,5.4,1.6,0.5,0.4,1.1,2.6,11.2,,landajo01
163,Tim Hardaway Jr.,33,DEN,SG,17,1,23.8,3.8,8.4,0.448,2.3,5.5,0.415,1.5,2.9,0.51,0.584,1.2,1.4,0.875,0.3,1.6,1.9,1.4,0.5,0.1,0.2,1.1,11.1,,hardati02
164,Jaylen Wells,22,MEM,SG,19,19,26.1,4.1,9.8,0.414,1.7,5.2,0.333,2.3,4.6,0.506,0.503,1.3,1.8,0.686,1.2,2.3,3.4,1.7,0.7,0.1,0.7,2.1,11.1,,wellsja01
165,Brandon Williams,26,DAL,PG,17,9,21.9,3.7,9.5,0.389,0.6,3.1,0.192,3.1,6.5,0.482,0.42,2.9,3.6,0.82,0.7,2,2.7,3.9,1.5,0.2,2.2,1.8,10.9,,willibr03
166,A.J. Green,26,MIL,SG,19,19,28.8,3.4,7.1,0.481,3.1,6.5,0.48,0.3,0.6,0.5,0.7,0.8,1.1,0.762,0.1,2.7,2.7,2,0.5,0.1,0.7,3.1,10.8,,greenaj01
167,Jakob Poeltl,30,TOR,C,14,14,26,4.5,6.1,0.733,0,0,,4.5,6.1,0.733,0.733,1.7,3,0.571,2.9,5.2,8.1,1.9,0.7,0.6,1.3,3.4,10.7,,poeltja01
168,Jordan Clarkson,33,NYK,SG,17,0,18.9,4,8.2,0.489,1.3,3.9,0.333,2.7,4.3,0.63,0.568,1.4,1.6,0.852,0.9,0.9,1.9,1.6,0.4,0.2,1.1,2.4,10.6,,clarkjo01
169,Miles McBride,25,NYK,SG,14,5,25.5,3.9,9.2,0.419,2.4,5.9,0.402,1.5,3.4,0.447,0.547,0.6,0.9,0.667,0.6,1.9,2.5,2.5,0.8,0.2,0.8,1.6,10.6,,mcbrimi01
